week,id,injury,opp,proj,prev_score,roster,roster_change,total_pts,avg_pts
1,diontaejohnson-WR,,SF,13.2,,96.7,2.2,13.2,0.0
1,djcharkjr-WR,Q,@ATL,0.0,,63.5,-1.5,0.0,0.0
1,djmoore-WR,,GB,12.7,,96.8,1.4,12.7,0.0
1,dkmetcalf-WR,,LAR,15.6,,99.8,0.1,15.6,0.0
1,dolphinsdst-DST,,@LAC,5.9,,83.9,-2.7,5.9,0.0
1,donovanpeoplesjones-WR,,CIN,7.0,,6.1,0.4,7.0,0.0
1,dontaforeman-RB,,GB,5.2,,16.4,1.1,5.2,0.0
1,drakelondon-WR,,CAR,12.4,,93.3,2.5,12.4,0.0
1,dustinhopkins-K,,CIN,8.0,,10.5,7.7,8.0,0.0
1,eaglesdst-DST,,@NE,6.9,,70.7,3.3,6.9,0.0
1,eddypineiro-K,,@ATL,7.8,,21.2,-2.0,7.8,0.0
1,elijahmitchell-RB,,@PIT,6.0,,55.6,8.0,6.0,0.0
1,elijahmoore-WR,,CIN,8.5,,59.9,4.4,8.5,0.0
1,evanengram-TE,,@IND,9.9,,95.0,2.2,9.9,0.0
1,evanhull-RB,,JAX,5.4,,15.3,10.9,5.4,0.0
1,evanmcpherson-K,,@CLE,8.3,,99.0,0.4,8.3,0.0
1,ezekielelliott-RB,,PHI,7.6,,71.4,6.5,7.6,0.0
1,falconsdst-DST,,CAR,7.1,,7.3,2.0,7.1,0.0
1,gabedavis-WR,,@NYJ,10.1,,82.1,0.7,10.1,0.0
1,garrettwilson-WR,,BUF,16.4,,99.9,0.1,16.4,0.0
1,genosmith-QB,,LAR,19.2,,82.4,0.9,19.2,0.0
1,georgekittle-TE,Q,@PIT,10.5,,99.1,0.4,10.5,0.0
1,georgepickens-WR,,SF,10.8,,93.5,2.2,10.8,0.0
1,geraldeverett-TE,,MIA,7.5,,47.9,6.5,7.5,0.0
1,grahamgano-K,,DAL,8.1,,91.3,0.9,8.1,0.0
1,gregdulcich-TE,,LV,7.1,,28.5,-10.6,7.1,0.0
1,gregjoseph-K,,TB,8.0,,9.5,1.5,8.0,0.0
1,gregzuerlein-K,,BUF,7.7,,30.5,1.9,7.7,0.0
1,gusedwards-RB,,HOU,5.2,,23.5,3.7,5.2,0.0
